KOSPI INDEX,
9/22/2017,2388.71
9/25/2017,2380.4
9/26/2017,2374.32
9/27/2017,2372.57
9/28/2017,2373.14
9/29/2017,2394.47
10/10/2017,2433.81
10/11/2017,2458.16
10/12/2017,2474.76
10/13/2017,2473.62
10/16/2017,2480.05
10/17/2017,2484.37
10/18/2017,2482.91
10/19/2017,2473.06
10/20/2017,2489.54
10/23/2017,2490.05
10/24/2017,2490.49
10/25/2017,2492.5
10/26/2017,2480.63
10/27/2017,2496.63
10/30/2017,2501.93
10/31/2017,2523.43
11/1/2017,2556.47
11/2/2017,2546.36
11/3/2017,2557.97
11/6/2017,2549.41
11/7/2017,2545.44
11/8/2017,2552.4
11/9/2017,2550.57
11/10/2017,2542.95
11/13/2017,2530.35
11/14/2017,2526.64
11/15/2017,2518.25
11/16/2017,2534.79
11/17/2017,2533.99
11/20/2017,2527.67
11/21/2017,2530.7
11/22/2017,2540.51
11/23/2017,2537.15
11/24/2017,2544.33
11/27/2017,2507.81
11/28/2017,2514.19
11/29/2017,2512.9
11/30/2017,2476.37
12/1/2017,2475.41
12/4/2017,2501.67
12/5/2017,2510.12
12/6/2017,2474.37
12/7/2017,2461.98
12/8/2017,2464
12/11/2017,2471.49
12/12/2017,2461
12/13/2017,2480.55
12/14/2017,2469.48
12/15/2017,2482.07
12/18/2017,2481.88
12/19/2017,2478.53
12/20/2017,2472.37
12/21/2017,2429.83
12/22/2017,2440.54
12/26/2017,2427.34
12/27/2017,2436.67
12/28/2017,2467.49
1/2/2018,2479.65
1/3/2018,2486.35
1/4/2018,2466.46
1/5/2018,2497.52
1/8/2018,2513.28
1/9/2018,2510.23
1/10/2018,2499.75
1/11/2018,2487.91
1/12/2018,2496.42
1/15/2018,2503.73
1/16/2018,2521.74
1/17/2018,2515.43
1/18/2018,2515.81
1/19/2018,2520.26
1/22/2018,2502.11
1/23/2018,2536.6
1/24/2018,2538
1/25/2018,2562.23
1/26/2018,2574.76
1/29/2018,2598.19
1/30/2018,2567.74
1/31/2018,2566.46
2/1/2018,2568.54
2/2/2018,2525.39
2/5/2018,2491.75
2/6/2018,2453.31
2/7/2018,2396.56
2/8/2018,2407.62
2/9/2018,2363.77
2/12/2018,2385.38
2/13/2018,2395.19
2/14/2018,2421.83
2/19/2018,2442.82
2/20/2018,2415.12
2/21/2018,2429.65
2/22/2018,2414.28
2/23/2018,2451.52
2/26/2018,2457.65
2/27/2018,2456.14
2/28/2018,2427.36
3/2/2018,2402.16
3/5/2018,2375.06
3/6/2018,2411.41
3/7/2018,2401.82
3/8/2018,2433.08
3/9/2018,2459.45
3/12/2018,2484.12
3/13/2018,2494.49
3/14/2018,2486.08
3/15/2018,2492.38
3/16/2018,2493.97
3/19/2018,2475.03
3/20/2018,2485.52
3/21/2018,2484.97
3/22/2018,2496.02
3/23/2018,2416.76
3/26/2018,2437.08
3/27/2018,2452.06
3/28/2018,2419.29
3/29/2018,2436.37
3/30/2018,2445.85
4/2/2018,2444.16
4/3/2018,2442.43
4/4/2018,2408.06
4/5/2018,2437.52
4/6/2018,2429.58
4/9/2018,2444.08
4/10/2018,2450.74
4/11/2018,2444.22
4/12/2018,2442.71
4/13/2018,2455.07
4/16/2018,2457.49
4/17/2018,2453.77
4/18/2018,2479.98
4/19/2018,2486.1
4/20/2018,2476.33
4/23/2018,2474.11
4/24/2018,2464.14
4/25/2018,2448.81
4/26/2018,2475.64
4/27/2018,2492.4
4/30/2018,2515.38
5/2/2018,2505.61
5/3/2018,2487.25
5/4/2018,2461.38
5/8/2018,2449.81
5/9/2018,2443.98
5/10/2018,2464.16
5/11/2018,2477.71
5/14/2018,2476.11
5/15/2018,2458.54
5/16/2018,2459.82
5/17/2018,2448.45
5/18/2018,2460.65
5/21/2018,2465.57
5/23/2018,2471.91
5/24/2018,2466.01
5/25/2018,2460.8
5/28/2018,2478.96
5/29/2018,2457.25
5/30/2018,2409.03
5/31/2018,2423.01
6/1/2018,2438.96
6/4/2018,2447.76
6/5/2018,2453.76
6/7/2018,2470.58
6/8/2018,2451.58
6/11/2018,2470.15
6/12/2018,2468.83
6/14/2018,2423.48
6/15/2018,2404.04
6/18/2018,2376.24
6/19/2018,2340.11
6/20/2018,2363.91
6/21/2018,2337.83
6/22/2018,2357.22
6/25/2018,2357.88
6/26/2018,2350.92
6/27/2018,2342.03
6/28/2018,2314.24
6/29/2018,2326.13
7/2/2018,2271.54
7/3/2018,2272.76
7/4/2018,2265.46
7/5/2018,2257.55
7/6/2018,2272.87
7/9/2018,2285.8
7/10/2018,2294.16
