NKY INDEX,
9/22/2017,20296.45
9/25/2017,20397.58
9/26/2017,20330.19
9/27/2017,20267.05
9/28/2017,20363.11
9/29/2017,20356.28
10/2/2017,20400.78
10/3/2017,20614.07
10/4/2017,20626.66
10/5/2017,20628.56
10/6/2017,20690.71
10/10/2017,20823.51
10/11/2017,20881.27
10/12/2017,20954.72
10/13/2017,21155.18
10/16/2017,21255.56
10/17/2017,21336.12
10/18/2017,21363.05
10/19/2017,21448.52
10/20/2017,21457.64
10/23/2017,21696.65
10/24/2017,21805.17
10/25/2017,21707.62
10/26/2017,21739.78
10/27/2017,22008.45
10/30/2017,22011.67
10/31/2017,22011.61
11/1/2017,22420.08
11/2/2017,22539.12
11/6/2017,22548.35
11/7/2017,22937.6
11/8/2017,22913.82
11/9/2017,22868.71
11/10/2017,22681.42
11/13/2017,22380.99
11/14/2017,22380.01
11/15/2017,22028.32
11/16/2017,22351.12
11/17/2017,22396.8
11/20/2017,22261.76
11/21/2017,22416.48
11/22/2017,22523.15
11/24/2017,22550.85
11/27/2017,22495.99
11/28/2017,22486.24
11/29/2017,22597.2
11/30/2017,22724.96
12/1/2017,22819.03
12/4/2017,22707.16
12/5/2017,22622.38
12/6/2017,22177.04
12/7/2017,22498.03
12/8/2017,22811.08
12/11/2017,22938.73
12/12/2017,22866.17
12/13/2017,22758.07
12/14/2017,22694.45
12/15/2017,22553.22
12/18/2017,22901.77
12/19/2017,22868
12/20/2017,22891.72
12/21/2017,22866.1
12/22/2017,22902.76
12/25/2017,22939.18
12/26/2017,22892.69
12/27/2017,22911.21
12/28/2017,22783.98
12/29/2017,22764.94
1/4/2018,23506.33
1/5/2018,23714.53
1/9/2018,23849.99
1/10/2018,23788.2
1/11/2018,23710.43
1/12/2018,23653.82
1/15/2018,23714.88
1/16/2018,23951.81
1/17/2018,23868.34
1/18/2018,23763.37
1/19/2018,23808.06
1/22/2018,23816.33
1/23/2018,24124.15
1/24/2018,23940.78
1/25/2018,23669.49
1/26/2018,23631.88
1/29/2018,23629.34
1/30/2018,23291.97
1/31/2018,23098.29
2/1/2018,23486.11
2/2/2018,23274.53
2/5/2018,22682.08
2/6/2018,21610.24
2/7/2018,21645.37
2/8/2018,21890.86
2/9/2018,21382.62
2/13/2018,21244.68
2/14/2018,21154.17
2/15/2018,21464.98
2/16/2018,21720.25
2/19/2018,22149.21
2/20/2018,21925.1
2/21/2018,21970.81
2/22/2018,21736.44
2/23/2018,21892.78
2/26/2018,22153.63
2/27/2018,22389.86
2/28/2018,22068.24
3/1/2018,21724.47
3/2/2018,21181.64
3/5/2018,21042.09
3/6/2018,21417.76
3/7/2018,21252.72
3/8/2018,21368.07
3/9/2018,21469.2
3/12/2018,21824.03
3/13/2018,21968.1
3/14/2018,21777.29
3/15/2018,21803.95
3/16/2018,21676.51
3/19/2018,21480.9
3/20/2018,21380.97
3/22/2018,21591.99
3/23/2018,20617.86
3/26/2018,20766.1
3/27/2018,21317.32
3/28/2018,21031.31
3/29/2018,21159.08
3/30/2018,21454.3
4/2/2018,21388.58
4/3/2018,21292.29
4/4/2018,21319.55
4/5/2018,21645.42
4/6/2018,21567.52
4/9/2018,21678.26
4/10/2018,21794.32
4/11/2018,21687.1
4/12/2018,21660.28
4/13/2018,21778.74
4/16/2018,21835.53
4/17/2018,21847.59
4/18/2018,22158.2
4/19/2018,22191.18
4/20/2018,22162.24
4/23/2018,22088.04
4/24/2018,22278.12
4/25/2018,22215.32
4/26/2018,22319.61
4/27/2018,22467.87
5/1/2018,22508.03
5/2/2018,22472.78
5/7/2018,22467.16
5/8/2018,22508.69
5/9/2018,22408.88
5/10/2018,22497.18
5/11/2018,22758.48
5/14/2018,22865.86
5/15/2018,22818.02
5/16/2018,22717.23
5/17/2018,22838.37
5/18/2018,22930.36
5/21/2018,23002.37
5/22/2018,22960.34
5/23/2018,22689.74
5/24/2018,22437.01
5/25/2018,22450.79
5/28/2018,22481.09
5/29/2018,22358.43
5/30/2018,22018.52
5/31/2018,22201.82
6/1/2018,22171.35
6/4/2018,22475.94
6/5/2018,22539.54
6/6/2018,22625.73
6/7/2018,22823.26
6/8/2018,22694.5
6/11/2018,22804.04
6/12/2018,22878.35
6/13/2018,22966.38
6/14/2018,22738.61
6/15/2018,22851.75
6/18/2018,22680.33
6/19/2018,22278.48
6/20/2018,22555.43
6/21/2018,22693.04
6/22/2018,22516.83
6/25/2018,22338.15
6/26/2018,22342
6/27/2018,22271.77
6/28/2018,22270.39
6/29/2018,22304.51
7/2/2018,21811.93
7/3/2018,21785.54
7/4/2018,21717.04
7/5/2018,21546.99
